loFlow,NTM_Zone,Purp,HH,PurpDef,hhDef
1,1,1,1,HB Work,1-Ad/0-Car
1,2,1,1,HB Work,1-Ad/0-Car
1,3,1,1,HB Work,1-Ad/0-Car
1,4,1,1,HB Work,1-Ad/0-Car
1,5,1,1,HB Work,1-Ad/0-Car
1,6,1,1,HB Work,1-Ad/0-Car
1,7,1,1,HB Work,1-Ad/0-Car
1,8,1,1,HB Work,1-Ad/0-Car
1,9,1,1,HB Work,1-Ad/0-Car
1,10,1,1,HB Work,1-Ad/0-Car
1,12,1,1,HB Work,1-Ad/0-Car
1,13,1,1,HB Work,1-Ad/0-Car
1,14,1,1,HB Work,1-Ad/0-Car
1,16,1,1,HB Work,1-Ad/0-Car
1,17,1,1,HB Work,1-Ad/0-Car
2,1,1,2,HB Work,1-Ad/1-Car
2,2,1,2,HB Work,1-Ad/1-Car
2,3,1,2,HB Work,1-Ad/1-Car
2,4,1,2,HB Work,1-Ad/1-Car
2,5,1,2,HB Work,1-Ad/1-Car
2,6,1,2,HB Work,1-Ad/1-Car
2,7,1,2,HB Work,1-Ad/1-Car
2,8,1,2,HB Work,1-Ad/1-Car
2,9,1,2,HB Work,1-Ad/1-Car
2,10,1,2,HB Work,1-Ad/1-Car
2,12,1,2,HB Work,1-Ad/1-Car
2,13,1,2,HB Work,1-Ad/1-Car
2,14,1,2,HB Work,1-Ad/1-Car
2,16,1,2,HB Work,1-Ad/1-Car
2,17,1,2,HB Work,1-Ad/1-Car
3,1,1,3,HB Work,2+Ad/0-Car
3,2,1,3,HB Work,2+Ad/0-Car
3,3,1,3,HB Work,2+Ad/0-Car
3,4,1,3,HB Work,2+Ad/0-Car
3,5,1,3,HB Work,2+Ad/0-Car
3,6,1,3,HB Work,2+Ad/0-Car
3,7,1,3,HB Work,2+Ad/0-Car
3,8,1,3,HB Work,2+Ad/0-Car
3,9,1,3,HB Work,2+Ad/0-Car
3,10,1,3,HB Work,2+Ad/0-Car
3,12,1,3,HB Work,2+Ad/0-Car
3,13,1,3,HB Work,2+Ad/0-Car
3,14,1,3,HB Work,2+Ad/0-Car
3,16,1,3,HB Work,2+Ad/0-Car
3,17,1,3,HB Work,2+Ad/0-Car
4,1,1,4,HB Work,2+Ad/1-Car
4,2,1,4,HB Work,2+Ad/1-Car
4,3,1,4,HB Work,2+Ad/1-Car
4,4,1,4,HB Work,2+Ad/1-Car
4,5,1,4,HB Work,2+Ad/1-Car
4,6,1,4,HB Work,2+Ad/1-Car
4,7,1,4,HB Work,2+Ad/1-Car
4,8,1,4,HB Work,2+Ad/1-Car
4,9,1,4,HB Work,2+Ad/1-Car
4,10,1,4,HB Work,2+Ad/1-Car
4,12,1,4,HB Work,2+Ad/1-Car
4,13,1,4,HB Work,2+Ad/1-Car
