Index,Factor,DB,Purp,HH,vOffset,hOffset,Dbprop
1,1601,1,1,1,3,1,15.60%
2,1602,1,1,2,4,1,6.71%
3,1603,1,1,3,5,1,11.25%
4,1604,1,1,4,6,1,8.63%
5,1605,1,1,5,7,1,5.29%
6,1606,1,2,1,8,1,17.55%
7,1607,1,2,2,9,1,6.31%
8,1608,1,2,3,10,1,6.59%
9,1609,1,2,4,11,1,7.97%
10,1610,1,2,5,12,1,3.70%
11,1611,1,3,1,13,1,48.18%
12,1612,1,3,2,14,1,28.20%
13,1613,1,3,3,15,1,46.25%
14,1614,1,3,4,16,1,40.51%
15,1615,1,3,5,17,1,28.22%
16,1616,1,4,1,18,1,34.46%
17,1617,1,4,2,19,1,21.64%
18,1618,1,4,3,20,1,33.91%
19,1619,1,4,4,21,1,20.43%
20,1620,1,4,5,22,1,14.50%
21,1621,1,5,1,23,1,25.86%
22,1622,1,5,2,24,1,12.72%
23,1623,1,5,3,25,1,23.24%
24,1624,1,5,4,26,1,15.42%
25,1625,1,5,5,27,1,11.49%
26,1626,1,6,6,28,1,3.81%
27,1627,1,7,6,29,1,12.69%
28,1628,1,8,6,30,1,19.97%
1,1651,2,1,1,3,2,17.86%
2,1652,2,1,2,4,2,10.19%
3,1653,2,1,3,5,2,17.07%
4,1654,2,1,4,6,2,16.25%
5,1655,2,1,5,7,2,10.77%
6,1656,2,2,1,8,2,12.79%
7,1657,2,2,2,9,2,9.19%
8,1658,2,2,3,10,2,17.33%
9,1659,2,2,4,11,2,11.18%
10,1660,2,2,5,12,2,6.12%
11,1661,2,3,1,13,2,28.80%
12,1662,2,3,2,14,2,27.33%
13,1663,2,3,3,15,2,24.62%
14,1664,2,3,4,16,2,26.02%
15,1665,2,3,5,17,2,24.51%
16,1666,2,4,1,18,2,23.26%
17,1667,2,4,2,19,2,20.80%
18,1668,2,4,3,20,2,25.30%
19,1669,2,4,4,21,2,22.53%
20,1670,2,4,5,22,2,19.27%
21,1671,2,5,1,23,2,20.17%
22,1672,2,5,2,24,2,16.43%
23,1673,2,5,3,25,2,23.27%
24,1674,2,5,4,26,2,19.04%
25,1675,2,5,5,27,2,15.32%
26,1676,2,6,6,28,2,11.52%
27,1677,2,7,6,29,2,9.83%
28,1678,2,8,6,30,2,16.41%
1,1701,3,1,1,3,3,10.54%
2,1702,3,1,2,4,3,10.37%
3,1703,3,1,3,5,3,12.29%
4,1704,3,1,4,6,3,12.02%
5,1705,3,1,5,7,3,9.49%
6,1706,3,2,1,8,3,8.28%
7,1707,3,2,2,9,3,6.64%
8,1708,3,2,3,10,3,11.84%
9,1709,3,2,4,11,3,9.11%
10,1710,3,2,5,12,3,6.14%
11,1711,3,3,1,13,3,7.53%
