NTM_Zone,NTM_Purpose,NTM_HH,NTM_Person,loFlow,Income_Prop
1,1,1,2,1,0.429215581
1,1,2,2,2,0.547381366
1,1,3,2,3,0.321438054
1,1,4,2,4,0.420518749
1,1,5,2,5,0.507441711
1,1,1,2,6,0.313292025
1,1,2,2,7,0.343431638
1,1,3,2,8,0.390997769
1,1,4,2,9,0.377969332
1,1,5,2,10,0.356084673
1,1,1,2,11,0.257492394
1,1,2,2,12,0.109186996
1,1,3,2,13,0.287564177
1,1,4,2,14,0.201511919
1,1,5,2,15,0.136473616
1,1,1,1,16,1
1,1,2,1,17,1
1,1,3,1,18,1
1,1,4,1,19,1
1,1,5,1,20,1
1,1,1,3,16,1
1,1,2,3,17,1
1,1,3,3,18,1
1,1,4,3,19,1
1,1,5,3,20,1
1,1,1,4,16,1
1,1,2,4,17,1
1,1,3,4,18,1
1,1,4,4,19,1
1,1,5,4,20,1
1,2,1,2,21,0.630136726
1,2,2,2,22,0.591289737
1,2,3,2,23,0.507597786
1,2,4,2,24,0.500245293
1,2,5,2,25,0.625275815
1,2,1,2,26,0.074152211
1,2,2,2,27,0.243948029
1,2,3,2,28,0.266330098
1,2,4,2,29,0.305823966
1,2,5,2,30,0.255991977
1,2,1,2,31,0.295711063
1,2,2,2,32,0.164762234
1,2,3,2,33,0.226072115
1,2,4,2,34,0.193930741
1,2,5,2,35,0.118732208
1,2,1,1,36,1
1,2,2,1,37,1
1,2,3,1,38,1
1,2,4,1,39,1
1,2,5,1,40,1
1,2,1,3,36,1
1,2,2,3,37,1
1,2,3,3,38,1
1,2,4,3,39,1
1,2,5,3,40,1
1,2,1,4,36,1
1,2,2,4,37,1
1,2,3,4,38,1
1,2,4,4,39,1
1,2,5,4,40,1
1,3,1,1,41,1
1,3,2,1,42,1
1,3,3,1,43,1
1,3,4,1,44,1
1,3,5,1,45,1
1,3,1,2,46,1
1,3,2,2,47,1
1,3,3,2,48,1
1,3,4,2,49,1
1,3,5,2,50,1
1,3,1,3,51,1
1,3,2,3,52,1
1,3,3,3,53,1
1,3,4,3,54,1
1,3,5,3,55,1
1,3,1,4,56,1
1,3,2,4,57,1
1,3,3,4,58,1
1,3,4,4,59,1
1,3,5,4,60,1
1,4,1,1,61,1
1,4,2,1,62,1
1,4,3,1,63,1
1,4,4,1,64,1
1,4,5,1,65,1
1,4,1,2,66,1
1,4,2,2,67,1
1,4,3,2,68,1
1,4,4,2,69,1
1,4,5,2,70,1
1,4,1,3,71,1
1,4,2,3,72,1
1,4,3,3,73,1
1,4,4,3,74,1
1,4,5,3,75,1
1,4,1,4,76,1
1,4,2,4,77,1
1,4,3,4,78,1
1,4,4,4,79,1
1,4,5,4,80,1
1,5,1,1,81,1
1,5,2,1,82,1
1,5,3,1,83,1
1,5,4,1,84,1
1,5,5,1,85,1
1,5,1,2,86,1
1,5,2,2,87,1
1,5,3,2,88,1
1,5,4,2,89,1
1,5,5,2,90,1
1,5,1,3,91,1
1,5,2,3,92,1
1,5,3,3,93,1
1,5,4,3,94,1
1,5,5,3,95,1
1,5,1,4,96,1
1,5,2,4,97,1
1,5,3,4,98,1
1,5,4,4,99,1
1,5,5,4,100,1
1,6,0,0,101,1
1,7,0,0,102,0.644131139
1,7,0,0,103,0.189146485
1,7,0,0,104,0.166722376
1,8,0,0,105,1
2,1,1,2,1,0.429215581
2,1,2,2,2,0.547381366
2,1,3,2,3,0.321438054
2,1,4,2,4,0.420518749
2,1,5,2,5,0.507441711
2,1,1,2,6,0.313292025
2,1,2,2,7,0.343431638
2,1,3,2,8,0.390997769
2,1,4,2,9,0.377969332
2,1,5,2,10,0.356084673
2,1,1,2,11,0.257492394
2,1,2,2,12,0.109186996
2,1,3,2,13,0.287564177
2,1,4,2,14,0.201511919
2,1,5,2,15,0.136473616
2,1,1,1,16,1
2,1,2,1,17,1
2,1,3,1,18,1
2,1,4,1,19,1
2,1,5,1,20,1
2,1,1,3,16,1
2,1,2,3,17,1
2,1,3,3,18,1
2,1,4,3,19,1
2,1,5,3,20,1
2,1,1,4,16,1
2,1,2,4,17,1
2,1,3,4,18,1
2,1,4,4,19,1
2,1,5,4,20,1
2,2,1,2,21,0.630136726
2,2,2,2,22,0.591289737
2,2,3,2,23,0.507597786
2,2,4,2,24,0.500245293
2,2,5,2,25,0.625275815
2,2,1,2,26,0.074152211
2,2,2,2,27,0.243948029
2,2,3,2,28,0.266330098
2,2,4,2,29,0.305823966
2,2,5,2,30,0.255991977
2,2,1,2,31,0.295711063
2,2,2,2,32,0.164762234
2,2,3,2,33,0.226072115
2,2,4,2,34,0.193930741
2,2,5,2,35,0.118732208
2,2,1,1,36,1
2,2,2,1,37,1
2,2,3,1,38,1
2,2,4,1,39,1
2,2,5,1,40,1
2,2,1,3,36,1
2,2,2,3,37,1
2,2,3,3,38,1
2,2,4,3,39,1
2,2,5,3,40,1
2,2,1,4,36,1
2,2,2,4,37,1
2,2,3,4,38,1
2,2,4,4,39,1
2,2,5,4,40,1
2,3,1,1,41,1
2,3,2,1,42,1
2,3,3,1,43,1
2,3,4,1,44,1
2,3,5,1,45,1
2,3,1,2,46,1
2,3,2,2,47,1
2,3,3,2,48,1
2,3,4,2,49,1
2,3,5,2,50,1
2,3,1,3,51,1
2,3,2,3,52,1
2,3,3,3,53,1
2,3,4,3,54,1
2,3,5,3,55,1
2,3,1,4,56,1
2,3,2,4,57,1
2,3,3,4,58,1
2,3,4,4,59,1
2,3,5,4,60,1
2,4,1,1,61,1
2,4,2,1,62,1
2,4,3,1,63,1
2,4,4,1,64,1
2,4,5,1,65,1
2,4,1,2,66,1
2,4,2,2,67,1
2,4,3,2,68,1
2,4,4,2,69,1
2,4,5,2,70,1
2,4,1,3,71,1
2,4,2,3,72,1
2,4,3,3,73,1
2,4,4,3,74,1
2,4,5,3,75,1
2,4,1,4,76,1
2,4,2,4,77,1
2,4,3,4,78,1
2,4,4,4,79,1
2,4,5,4,80,1
2,5,1,1,81,1
2,5,2,1,82,1
2,5,3,1,83,1
2,5,4,1,84,1
2,5,5,1,85,1
2,5,1,2,86,1
2,5,2,2,87,1
2,5,3,2,88,1
2,5,4,2,89,1
2,5,5,2,90,1
2,5,1,3,91,1
2,5,2,3,92,1
2,5,3,3,93,1
2,5,4,3,94,1
2,5,5,3,95,1
2,5,1,4,96,1
2,5,2,4,97,1
2,5,3,4,98,1
2,5,4,4,99,1
2,5,5,4,100,1
2,6,0,0,101,1
2,7,0,0,102,0.644131139
2,7,0,0,103,0.189146485
2,7,0,0,104,0.166722376
2,8,0,0,105,1
3,1,1,2,1,0.429215581
3,1,2,2,2,0.547381366
3,1,3,2,3,0.321438054
3,1,4,2,4,0.420518749
3,1,5,2,5,0.507441711
3,1,1,2,6,0.313292025
3,1,2,2,7,0.343431638
3,1,3,2,8,0.390997769
3,1,4,2,9,0.377969332
3,1,5,2,10,0.356084673
3,1,1,2,11,0.257492394
3,1,2,2,12,0.109186996
3,1,3,2,13,0.287564177
3,1,4,2,14,0.201511919
3,1,5,2,15,0.136473616
3,1,1,1,16,1
3,1,2,1,17,1
3,1,3,1,18,1
3,1,4,1,19,1
3,1,5,1,20,1
3,1,1,3,16,1
3,1,2,3,17,1
3,1,3,3,18,1
3,1,4,3,19,1
3,1,5,3,20,1
3,1,1,4,16,1
3,1,2,4,17,1
3,1,3,4,18,1
3,1,4,4,19,1
3,1,5,4,20,1
3,2,1,2,21,0.630136726
3,2,2,2,22,0.591289737
3,2,3,2,23,0.507597786
3,2,4,2,24,0.500245293
3,2,5,2,25,0.625275815
3,2,1,2,26,0.074152211
3,2,2,2,27,0.243948029
3,2,3,2,28,0.266330098
3,2,4,2,29,0.305823966
3,2,5,2,30,0.255991977
3,2,1,2,31,0.295711063
3,2,2,2,32,0.164762234
3,2,3,2,33,0.226072115
3,2,4,2,34,0.193930741
3,2,5,2,35,0.118732208
3,2,1,1,36,1
3,2,2,1,37,1
3,2,3,1,38,1
3,2,4,1,39,1
3,2,5,1,40,1
3,2,1,3,36,1
3,2,2,3,37,1
3,2,3,3,38,1
3,2,4,3,39,1
3,2,5,3,40,1
3,2,1,4,36,1
3,2,2,4,37,1
3,2,3,4,38,1
3,2,4,4,39,1
3,2,5,4,40,1
3,3,1,1,41,1
3,3,2,1,42,1
3,3,3,1,43,1
3,3,4,1,44,1
3,3,5,1,45,1
3,3,1,2,46,1
3,3,2,2,47,1
3,3,3,2,48,1
3,3,4,2,49,1
3,3,5,2,50,1
3,3,1,3,51,1
3,3,2,3,52,1
3,3,3,3,53,1
3,3,4,3,54,1
3,3,5,3,55,1
3,3,1,4,56,1
3,3,2,4,57,1
3,3,3,4,58,1
3,3,4,4,59,1
3,3,5,4,60,1
3,4,1,1,61,1
3,4,2,1,62,1
3,4,3,1,63,1
3,4,4,1,64,1
3,4,5,1,65,1
3,4,1,2,66,1
3,4,2,2,67,1
3,4,3,2,68,1
3,4,4,2,69,1
3,4,5,2,70,1
3,4,1,3,71,1
3,4,2,3,72,1
3,4,3,3,73,1
3,4,4,3,74,1
3,4,5,3,75,1
3,4,1,4,76,1
3,4,2,4,77,1
3,4,3,4,78,1
3,4,4,4,79,1
3,4,5,4,80,1
3,5,1,1,81,1
3,5,2,1,82,1
3,5,3,1,83,1
3,5,4,1,84,1
3,5,5,1,85,1
3,5,1,2,86,1
3,5,2,2,87,1
3,5,3,2,88,1
3,5,4,2,89,1
3,5,5,2,90,1
3,5,1,3,91,1
3,5,2,3,92,1
3,5,3,3,93,1
3,5,4,3,94,1
3,5,5,3,95,1
3,5,1,4,96,1
3,5,2,4,97,1
3,5,3,4,98,1
3,5,4,4,99,1
3,5,5,4,100,1
3,6,0,0,101,1
3,7,0,0,102,0.644131139
3,7,0,0,103,0.189146485
3,7,0,0,104,0.166722376
3,8,0,0,105,1
4,1,1,2,1,0.429215581
4,1,2,2,2,0.547381366
4,1,3,2,3,0.321438054
4,1,4,2,4,0.420518749
4,1,5,2,5,0.507441711
4,1,1,2,6,0.313292025
4,1,2,2,7,0.343431638
4,1,3,2,8,0.390997769
4,1,4,2,9,0.377969332
4,1,5,2,10,0.356084673
4,1,1,2,11,0.257492394
4,1,2,2,12,0.109186996
4,1,3,2,13,0.287564177
4,1,4,2,14,0.201511919
4,1,5,2,15,0.136473616
4,1,1,1,16,1
