NTEM7_Zone_ID,NTEM7_Zone_Code,NTMv2R_Zone_Number
500,E02000001,1
501,E02000002,3
502,E02000003,3
503,E02000004,3
504,E02000005,3
505,E02000007,3
506,E02000008,3
507,E02000009,3
508,E02000010,3
509,E02000011,3
510,E02000012,3
511,E02000013,3
512,E02000014,3
513,E02000015,3
514,E02000016,3
515,E02000017,3
516,E02000018,3
517,E02000019,3
518,E02000020,3
519,E02000021,3
520,E02000022,3
521,E02000023,3
522,E02000024,3
523,E02000025,3
524,E02000026,3
525,E02000027,3
526,E02000028,3
527,E02000029,3
528,E02000030,3
529,E02000031,3
530,E02000032,3
531,E02000033,3
532,E02000034,3
533,E02000035,3
534,E02000036,3
535,E02000037,3
536,E02000038,3
537,E02000039,3
538,E02000040,3
539,E02000041,3
540,E02000042,3
541,E02000043,3
542,E02000044,3
543,E02000045,3
544,E02000046,3
545,E02000047,3
546,E02000048,3
547,E02000049,3
548,E02000050,3
549,E02000051,3
550,E02000052,3
551,E02000053,3
552,E02000054,3
553,E02000055,3
554,E02000056,3
555,E02000057,3
556,E02000058,3
557,E02000059,3
558,E02000060,3
559,E02000061,3
560,E02000062,3
561,E02000063,3
562,E02000064,3
563,E02000065,3
564,E02000066,3
565,E02000067,3
566,E02000068,3
567,E02000069,3
568,E02000070,3
569,E02000071,3
570,E02000072,3
571,E02000073,3
572,E02000074,3
573,E02000075,3
574,E02000077,3
575,E02000078,3
576,E02000079,3
577,E02000080,3
578,E02000081,3
579,E02000082,3
580,E02000083,3
581,E02000084,3
582,E02000085,3
583,E02000086,3
584,E02000087,3
585,E02000088,3
586,E02000089,3
587,E02000090,3
588,E02000091,3
589,E02000092,3
590,E02000093,3
591,E02000094,3
592,E02000095,3
593,E02000096,3
594,E02000097,3
595,E02000098,3
596,E02000099,3
597,E02000100,3
598,E02000101,3
599,E02000102,3
600,E02000103,3
601,E02000104,3
602,E02000105,3
603,E02000106,3
604,E02000107,3
605,E02000108,3
606,E02000109,3
607,E02000110,3
608,E02000111,3
609,E02000112,3
610,E02000113,3
611,E02000114,3
612,E02000115,3
613,E02000116,3
614,E02000117,3
615,E02000118,3
616,E02000119,3
617,E02000120,3
618,E02000121,3
619,E02000122,3
620,E02000123,3
621,E02000124,3
622,E02000125,3
623,E02000126,3
624,E02000127,3
625,E02000128,3
626,E02000130,3
627,E02000131,3
628,E02000132,3
629,E02000133,3
630,E02000134,3
631,E02000135,3
632,E02000136,3
633,E02000137,3
634,E02000138,3
635,E02000139,3
636,E02000140,3
637,E02000141,3
638,E02000142,3
639,E02000144,3
640,E02000145,3
641,E02000146,3
642,E02000147,3
643,E02000148,3
644,E02000149,3
645,E02000150,3
646,E02000151,3
647,E02000152,3
648,E02000153,3
649,E02000154,3
650,E02000155,3
651,E02000156,3
652,E02000157,3
653,E02000158,3
654,E02000159,3
655,E02000160,3
656,E02000161,3
657,E02000162,3
658,E02000163,3
659,E02000165,3
660,E02000166,2
661,E02000167,2
662,E02000168,2
663,E02000169,2
664,E02000170,2
665,E02000171,2
666,E02000172,2
667,E02000173,2
668,E02000174,2
669,E02000175,2
670,E02000176,2
671,E02000177,2
672,E02000178,2
673,E02000179,2
